wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-26T14:50:06.717,0,"[0.0007116181077435613, 0.0010105762630701065, 0.0017910330789163709, -2.0763269503731863e-07, -1.47652006177168e-08, -7.139250612908654e-08]","[0.0011340125929564238, 0.0007536720368079841, 0.0017799143679440022, -1.7338918212317367e-07, 4.145964993540474e-08, -7.148631908648895e-08]"
2026-02-26T14:50:06.861,1,"[0.0012542849872261286, 0.0004631054762285203, 0.0001996338542085141, -1.736323440582055e-08, 1.6789040557796397e-07, 4.031777578461515e-08]","[0.0012412657961249352, 0.000597524456679821, 0.00024047419719863683, -3.534027115392746e-08, 1.6597948615526548e-07, 4.085161364741907e-08]"
2026-02-26T14:50:06.894,2,"[0.001333821564912796, 0.0006605053786188364, 0.0006740700337104499, -1.192418608297885e-07, 1.8675719104521704e-07, 2.445047755372798e-07]","[0.0012722506653517485, 0.0005249486421234906, 0.0006960156024433672, -1.0125160088136909e-07, 1.7847206379428826e-07, 2.4370791606997955e-07]"
2026-02-26T14:50:06.927,3,"[0.0008236691355705261, 0.0006017594714649022, 0.0002162434975616634, -7.220278064323793e-08, 1.2213514821723948e-07, 1.6366936961276224e-07]","[0.0007838292513042688, 0.0006570756086148322, 0.00026447107666172087, -7.967783233198134e-08, 1.1662278609492205e-07, 1.6379422618229e-07]"
2026-02-26T14:50:06.961,4,"[-0.00013444370415527374, 0.0004283033194951713, -5.6668854085728526e-05, -3.1983937276436336e-08, -7.534754153937229e-09, -1.230181645439643e-08]","[-0.000153859393321909, 0.0005698995082639158, -2.4902057703002356e-05, -5.089960453119602e-08, -1.0259157967595911e-08, -1.1713460423834476e-08]"
2026-02-26T14:50:06.996,5,"[-0.00015964126214385033, 0.00030868506291881204, 2.007982402574271e-05, -3.782658097861713e-08, -6.7875349785140315e-09, -2.0735518191372648e-08]","[-0.00020644777396228164, 0.0003684148832689971, 4.329844523454085e-05, -4.5829850137124595e-08, -1.3117049668665004e-08, -2.0581952142606497e-08]"
2026-02-26T14:50:07.029,6,"[-0.0001965076953638345, 0.00023452911409549415, 0.0001043547599692829, -4.338250647606401e-08, -5.731872754211054e-09, -2.734273962801126e-08]","[-0.0002699574106372893, 0.00022869209351483732, 0.00012304974370636046, -4.265134734282583e-08, -1.5585081669655665e-08, -2.754881656130692e-08]"
2026-02-26T14:50:07.062,7,"[-0.00024889319320209324, 0.00018525283667258918, 0.00011931393237318844, -3.845904572585823e-08, -8.382942340290356e-09, -3.294661610198091e-08]","[-0.00033602380426600575, 0.00016028265235945582, 0.00013116985792294145, -3.516528579439182e-08, -2.0025369806830895e-08, -3.327152242604825e-08]"
2026-02-26T14:50:07.095,8,"[-0.0003006618353538215, 0.00016493367729708552, 5.7571603974793106e-05, -2.721570524499839e-08, -1.2822901851450297e-08, -3.651132729487472e-08]","[-0.0003921379102393985, 0.00015683061792515218, 6.344806752167642e-05, -2.6151774079608003e-08, -2.501653995068409e-08, -3.677050841588425e-08]"
2026-02-26T14:50:07.130,9,"[-0.00035821119672618806, 0.00016036650049500167, -9.108572703553364e-05, -5.868894703553451e-09, -2.7221904730367896e-08, -3.843229734457054e-08]","[-0.0004193147469777614, 0.0002173276589019224, -8.063737186603248e-05, -1.3474243054645285e-08, -3.539615889280867e-08, -3.8322234274801303e-08]"
2026-02-26T14:50:07.163,10,"[-0.0003899126313626766, 0.00019607413560152054, -0.00021105284395162016, 5.691579207933728e-09, -4.127530672803914e-08, -3.592645825278851e-08]","[-0.00041364767821505666, 0.0003075843269471079, -0.00020053324988111854, -9.172400616819232e-09, -4.4479577354650246e-08, -3.547702220885185e-08]"
2026-02-26T14:50:07.196,11,"[-0.0003854480164591223, 0.00026653078384697437, -0.0002733665460254997, 5.267844382927933e-09, -5.453642870634212e-08, -2.9381263644268074e-08]","[-0.0003582460049074143, 0.00040973233990371227, -0.00026503921253606677, -1.3807488485895192e-08, -5.095607491512055e-08, -2.8661023776521688e-08]"
2026-02-26T14:50:07.296,12,"[-0.00034101083292625844, 0.0003746671136468649, -0.0002608343493193388, -1.0771076475180053e-08, -5.792567847606733e-08, -1.995856813152841e-08]","[-0.0002813074388541281, 0.0005130572826601565, -0.00025448057567700744, -2.9201471463125017e-08, -5.0013735375387114e-08, -1.9178342469672316e-08]"
2026-02-26T14:50:07.335,13,"[-0.0002629140508361161, 0.0004981592064723372, -0.00020883457909803838, -3.3074663008392235e-08, -5.389913582121153e-08, -8.74560690533599e-09]","[-0.00018056137196253985, 0.0006168715190142393, -0.0002040397230302915, -4.888288174242916e-08, -4.296779110291027e-08, -7.997697615280686e-09]"
2026-02-26T14:50:07.401,14,"[-0.0002109171327902004, 0.0006477004499174654, -0.00018946042109746486, -5.7106166906351064e-08, -5.143832026988093e-08, -2.491080675071089e-09]","[-0.0001111140227294527, 0.0007523332606069744, -0.00018647912656888366, -7.103707133637727e-08, -3.817788396531796e-08, -1.762832879670384e-09]"
2026-02-26T14:50:07.434,15,"[-5.78615436097607e-06, 0.0007854902069084346, -0.00014691978867631406, -8.617361402230017e-08, -3.09419014854484e-08, 1.2684622241465604e-08]","[0.00012307737779337913, 0.000852430472150445, -0.00014171739167068154, -9.50962260048982e-08, -1.382585690379301e-08, 1.3312821955935306e-08]"
2026-02-26T14:50:07.469,16,"[0.0001875218003988266, 0.0008663855260238051, -0.00013528118142858148, -1.0498111180368142e-07, -3.4976668228381413e-09, 2.466615889318291e-08]","[0.0003100353933405131, 0.0009037209092639387, -0.00012937492283526808, -1.0996802046747689e-07, 1.2771219637386366e-08, 2.514084940230532e-08]"
2026-02-26T14:50:07.502,17,"[0.00037051524850539863, 0.0008985440945252776, -0.00012482222518883646, -1.1651686548930229e-07, 2.352502725955219e-08, 4.8901505067533435e-08]","[0.0004814857093151659, 0.0009083676268346608, -0.00011799170897575095, -1.1784688069838012e-07, 3.825504535370783e-08, 4.921902885257623e-08]"
2026-02-26T14:50:07.537,18,"[0.00039557801210321486, 0.0008774115703999996, -9.707795834401622e-05, -1.2081332556590496e-07, 3.0948516638318324e-08, 3.082357480366227e-08]","[0.0004836782463826239, 0.0008614434045739472, -8.497973612975329e-05, -1.1872552363456634e-07, 4.261325159404805e-08, 3.096713641070892e-08]"
2026-02-26T14:50:07.573,19,"[0.0004750272782985121, 0.0008668622467666864, -7.338843715842813e-05, -1.2549470795875095e-07, 4.27189057461419e-08, 4.860415003804519e-08]","[0.0005535743548534811, 0.0008300567860715091, -6.179662887006998e-05, -1.2063358667546709e-07, 5.311549955422379e-08, 4.8628159277086525e-08]"
2026-02-26T14:50:07.608,20,"[0.000596587429754436, 0.0009198999032378197, -8.97447534953244e-06, -1.4211063614766317e-07, 6.069402758157594e-08, 1.0382024129285128e-07]","[0.0006598422187380493, 0.0008526841411367059, 3.930059392587282e-06, -1.3320664038474206e-07, 6.905105465193628e-08, 1.0366643721226865e-07]"
2026-02-26T14:50:07.641,21,"[-0.0005347193800844252, 0.00021365968859754503, -8.488117600791156e-05, -2.2864245607934208e-08, -8.973324838734698e-08, -2.764907094388036e-07]","[-0.0004662357678171247, 0.00023624829191248864, -7.791415555402637e-05, -2.588916103718475e-08, -8.065737944207285e-08, -2.7620058062893804e-07]"
2026-02-26T14:50:07.675,22,"[1.0767936146294232e-05, 0.0006210771971382201, -0.00010618606756906956, -7.984625938206591e-08, -3.2397142746276586e-08, -1.963744011845847e-08]","[0.0001770689559634775, 0.0006100680329836905, -9.649676940171048e-05, -7.841141069775404e-08, -1.0322029453391224e-08, -1.9263504569266843e-08]"
2026-02-26T14:50:07.709,23,"[-0.00029374685254879296, 0.00045232923002913594, -9.627818508306518e-05, -6.168431809783215e-08, -7.909309651665808e-09, -1.2634816926038184e-07]","[-0.00038259776192717254, 0.00043354774243198335, -6.624781963182613e-05, -5.926654367272022e-08, -1.9861174038737772e-08, -1.26647748288633e-07]"
